:START_ID,:TYPE,:END_ID
Stan_Marsh,FULL_NAME,"Stanley ""Stan"" Marsh"
Stan_Marsh,HAS_GENDER,Male
Stan_Marsh,HAS_AGE,10
Stan_Marsh,HAS_HAIR_COLOR,Black
Stan_Marsh,HAS_OCCUPATION,Student
Stan_Marsh,HAS_GRADE,4th_Grade
Stan_Marsh,HAS_ALIASES,Ranger_Stan_Marshwalker
Stan_Marsh,HAS_ALIASES,Satan_Stan_Marsh
Stan_Marsh,HAS_ALIASES,Toolshed
Stan_Marsh,HAS_ALIASES,Stan_Darsh
Stan_Marsh,HAS_ALIASES,The_Boy_in_the_Red_Poofball_Hat
Stan_Marsh,HAS_RELIGION,Roman_Catholic
Stan_Marsh,HAS_RELIGION,Temporarily
Stan_Marsh,HAS_RELIGION,Atheist
Stan_Marsh,HAS_RELIGION,Mormon
Stan_Marsh,HAS_RELIGION,Scientologist_and_Blaintologist
Stan_Marsh,HAS_FATHER,Randy_Marsh
Stan_Marsh,HAS_MOTHER,Sharon_Marsh
Stan_Marsh,HAS_SISTER,Shelly_Marsh
Stan_Marsh,HAS_GRANDFATHER,Marvin_Marsh
Stan_Marsh,HAS_GRANDMOTHER,Grandma_Marsh
Stan_Marsh,HAS_UNCLE,Jimbo_Kern
Stan_Marsh,HAS_GREAT-AUNT,Flo_Marsh
Stan_Marsh,HAS_GIRLFRIEND,Wendy_Testaburger
Stan_Marsh,HAS_VOICED_BY,Trey_Parker
Stan_Marsh,HAS_FIRST_APPEARANCE,The_Spirit_of_Christmas_Jesus_vs_Frosty
Stan_Marsh,HAS_ALTER_EGOS,Raisins_episode
Stan_Marsh,HAS_ALTER_EGOS,Good_Times_With_Weapons
Stan_Marsh,HAS_ALTER_EGOS,WTF
Stan_Marsh,HAS_ALTER_EGOS,Whale_Whores
Stan_Marsh,HAS_ALTER_EGOS,Toolshed
Stan_Marsh,HAS_ALTER_EGOS,Ass_Burgers
Stan_Marsh,HAS_ALTER_EGOS,The_Last_of_the_Meheecans
Stan_Marsh,HAS_ALTER_EGOS,Ranger_Stan_Marshwalker
Stan_Marsh,HAS_ALTER_EGOS,Satan_Stan_Marsh
Stan_Marsh,HAS_ALTER_EGOS,Naughty_Ninjas
Stan_Marsh,HAS_ALTER_EGOS,Pig_Mask
Stan_Marsh,HAS_ALTER_EGOS,Stan_Hemp_Shirt
Stan_Marsh,HAS_PHONE_DESTROYER_OUTFITS,South_Park_Phone_Destroyer
Stan_Marsh,HAS_PHONE_DESTROYER_OUTFITS,Poseidon_Stan
Stan_Marsh,HAS_ADDITIONAL_EGOS,Something_You_Can_Do_With_Your_Finger
Stan_Marsh,HAS_ADDITIONAL_EGOS,Fun_with_Veal
Stan_Marsh,HAS_ADDITIONAL_EGOS,The_Simpsons_Already_Did_It
Stan_Marsh,HAS_ADDITIONAL_EGOS,Bebes_Boobs_Destroy_Society
Stan_Marsh,HAS_ADDITIONAL_EGOS,The_Passion_of_the_Jew
Stan_Marsh,HAS_ADDITIONAL_EGOS,Douche_and_Turd
Stan_Marsh,HAS_ADDITIONAL_EGOS,Trapped_in_the_Closet
Stan_Marsh,HAS_ADDITIONAL_EGOS,Guitar_Queer_O
Stan_Marsh,HAS_ADDITIONAL_EGOS,Super_Fun_Time
Stan_Marsh,HAS_ADDITIONAL_EGOS,You_Have_0_Friends
Stan_Marsh,HAS_ADDITIONAL_EGOS,Cash_for_Gold
Stan_Marsh,HAS_ADDITIONAL_EGOS,A_Scause_for_Applause
Stan_Marsh,HAS_OCCASIONAL_LOOKS,Stan_Marsh
Stan_Marsh,HAS_OCCASIONAL_LOOKS,Stan_Pajamas
Stan_Marsh,HAS_OCCASIONAL_LOOKS,Toilet_Paper
Stan_Marsh,HAS_OCCASIONAL_LOOKS,Stan_Football_Jersey
Stan_Marsh,HAS_OCCASIONAL_LOOKS,Alter_egos_stan_al_gore_capepng
Stan_Marsh,HAS_HALLOWEEN_COSTUMES,Pinkeye
Stan_Marsh,HAS_HALLOWEEN_COSTUMES,Korns_Groovy_Pirate_Ghost_Mystery
Stan_Marsh,HAS_HALLOWEEN_COSTUMES,A_Nightmare_on_Face_Time
Stan_Marsh,HAS_HALLOWEEN_COSTUMES,A_Nightmare_on_Face_Time
Stan_Marsh,HAS_OTHER,My_Future_Self_n_Me
Stan_Marsh,HAS_OTHER,Evil_Clone_Stan
Stan_Marsh,HAS_OTHER,Spookyfish
Stan_Marsh,HAS_OTHER,You_Have_0_Friends
Stan_Marsh,HAS_FAMILY,Randy_Marsh
Stan_Marsh,HAS_FAMILY,Sharon_Marsh
Stan_Marsh,HAS_FAMILY,Shelly_Marsh
Stan_Marsh,HAS_FAMILY,Jimbo_Kern
Stan_Marsh,HAS_FAMILY,Flo_Marsh
Stan_Marsh,HAS_FAMILY,Marvin_Marsh
Stan_Marsh,HAS_FAMILY,Grandma_Marsh
Stan_Marsh,HAS_FAMILY,Great_Grandpa_Marsh
Stan_Marsh,HAS_FAMILY,Sparky
Stan_Marsh,HAS_FAMILY,Spooky_Fish
Stan_Marsh,HAS_GIRLFRIEND,Wendy_Testaburger
Stan_Marsh,HAS_SUPER_BEST_FRIEND,Kyle_Broflovski
Stan_Marsh,HAS_CLOSE_FRIENDS,Eric_Cartman
Stan_Marsh,HAS_CLOSE_FRIENDS,Kenny_McCormick
Stan_Marsh,HAS_CLOSE_FRIENDS,Butters_Stotch
Stan_Marsh,HAS_CLOSE_FRIENDS,Craig_Tucker
Stan_Marsh,HAS_CLOSE_FRIENDS,Clyde_Donovan
